"No.","Time","Source","Destination","Protocol","Length","Info"
"1687","62.786101","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1691","62.788498","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1703","62.793303","213.57.24.219","10.0.2.15","TLSv1.2","2378","Application Data, Application Data"
"1705","63.221986","10.0.2.15","149.154.167.99","TLSv1.2","509","Application Data"
"1707","63.311999","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"1711","64.967864","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1713","65.039205","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1720","68.043159","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1722","68.114103","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1726","71.121964","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1728","71.192132","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1733","72.564756","10.0.2.15","213.57.24.219","TLSv1.2","849","Application Data"
"1736","72.578562","213.57.24.219","10.0.2.15","TLSv1.2","635","Application Data"
"1752","72.583701","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1764","72.586189","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1768","72.587031","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1781","72.590039","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
