"No.","Time","Source","Destination","Protocol","Length","Info"
"1802","187.814328","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=43058 Ack=61579 Win=65535 Len=0"
"1803","187.818520","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1804","187.818891","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=61579 Ack=43257 Win=65535 Len=0"
"1805","187.928487","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
"1806","187.971010","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=43257 Ack=61998 Win=65535 Len=0"
"1809","188.257991","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1810","188.258331","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=61998 Ack=43456 Win=65535 Len=0"
"1811","188.415354","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1812","188.415407","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=43456 Ack=62143 Win=65535 Len=0"
"1815","189.609186","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1816","189.609591","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=62143 Ack=43639 Win=65535 Len=0"
"1817","189.699489","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1818","189.699525","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=43639 Ack=62256 Win=65535 Len=0"
"1819","189.843065","10.0.2.15","149.154.167.99","TLSv1.2","461","Application Data"
"1820","189.843362","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=62256 Ack=44046 Win=65535 Len=0"
"1821","189.941068","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"1822","189.941106","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=44046 Ack=62419 Win=65535 Len=0"
"1880","191.889003","10.0.2.15","149.154.167.99","TLSv1.3","93","Application Data"
"1881","191.889271","10.0.2.15","149.154.167.99","TLSv1.3","78","Application Data"
"1882","191.889288","10.0.2.15","149.154.167.99","TCP","54","48534  >  443 [FIN, ACK] Seq=1370 Ack=911 Win=63986 Len=0"
"1883","191.889427","149.154.167.99","10.0.2.15","TCP","60","443  >  48534 [ACK] Seq=911 Ack=1346 Win=65535 Len=0"
"1884","191.889427","149.154.167.99","10.0.2.15","TCP","60","443  >  48534 [ACK] Seq=911 Ack=1370 Win=65535 Len=0"
"1885","191.889427","149.154.167.99","10.0.2.15","TCP","60","443  >  48534 [ACK] Seq=911 Ack=1371 Win=65535 Len=0"
"1886","191.966967","149.154.167.99","10.0.2.15","TCP","60","443  >  48534 [FIN, ACK] Seq=911 Ack=1371 Win=65535 Len=0"
"1887","191.967099","10.0.2.15","149.154.167.99","TCP","54","48534  >  443 [ACK] Seq=1371 Ack=912 Win=63986 Len=0"
"1888","192.713427","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1889","192.713830","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=62419 Ack=44229 Win=65535 Len=0"
"1890","192.837984","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1891","192.838020","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=44229 Ack=62532 Win=65535 Len=0"
"1900","195.852095","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
