"No.","Time","Source","Destination","Protocol","Length","Info"
"1300","106.505936","10.0.2.15","149.154.167.99","TCP","54","60374  >  443 [ACK] Seq=2175 Ack=32991 Win=62780 Len=0"
"1301","106.506395","149.154.167.99","10.0.2.15","TCP","2534","443  >  60374 [PSH, ACK] Seq=32991 Ack=2175 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"1302","106.506409","10.0.2.15","149.154.167.99","TCP","54","60374  >  443 [ACK] Seq=2175 Ack=35471 Win=62780 Len=0"
"1303","106.511056","149.154.167.99","10.0.2.15","TCP","2534","443  >  60374 [PSH, ACK] Seq=35471 Ack=2175 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"1304","106.511076","10.0.2.15","149.154.167.99","TCP","54","60374  >  443 [ACK] Seq=2175 Ack=37951 Win=62780 Len=0"
"1305","106.511872","149.154.167.99","10.0.2.15","TCP","2534","443  >  60374 [PSH, ACK] Seq=37951 Ack=2175 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"1306","106.511887","10.0.2.15","149.154.167.99","TCP","54","60374  >  443 [ACK] Seq=2175 Ack=40431 Win=62780 Len=0"
"1307","106.512236","149.154.167.99","10.0.2.15","TLSv1.3","3412","Application Data"
"1308","106.512249","10.0.2.15","149.154.167.99","TCP","54","60374  >  443 [ACK] Seq=2175 Ack=43789 Win=61320 Len=0"
"1309","106.785089","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1310","106.785453","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=30203 Ack=21190 Win=65535 Len=0"
"1311","106.906905","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1312","106.906943","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21190 Ack=30316 Win=65535 Len=0"
"1313","106.911721","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1314","106.911939","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=30316 Ack=21389 Win=65535 Len=0"
"1317","107.024467","149.154.167.99","10.0.2.15","TLSv1.2","732","Application Data"
"1318","107.067390","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21389 Ack=30994 Win=65535 Len=0"
"1319","107.322616","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1320","107.323052","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=30994 Ack=21588 Win=65535 Len=0"
"1321","107.428707","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1322","107.428747","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21588 Ack=31139 Win=65535 Len=0"
"1323","108.029055","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1324","108.029405","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=31139 Ack=21771 Win=65535 Len=0"
"1325","108.112189","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1326","108.112216","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21771 Ack=31252 Win=65535 Len=0"
"1329","108.486819","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1330","108.486855","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21771 Ack=31591 Win=65535 Len=0"
"1338","109.244223","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1339","109.244593","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=31591 Ack=21970 Win=65535 Len=0"
"1340","109.344055","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1341","109.344091","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=21970 Ack=31704 Win=65535 Len=0"
"1342","109.347325","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
